ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
559,,aha,fall,iwakada,iwakada,i w a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
560,,ehe,fall,hiwakaita ~,hiwakaita ~,h i w a k a i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
561,,oho,fall,hiwaketi,hiwaketi,h i w a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
562,,name,fall,hiwaketi,hiwaketi,h i w a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
563,,werekena,fall,juɽuahɐ̃,juɽuahɐ̃,j u ɽ u a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
564,,waliperi,far,jaːka,jaːka,j aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
565,,hohoodene,far,iakahɛ,iakahɛ,j a k a h ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
566,,mauliene,far,jaka,jaka,j a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
567,,kumadene2,far,teːku,teːku,t eː k u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
568,,tariana,far,ɾiakamanuka,ɾiakamanuka,ɾ i a k a m a n u k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
569,,aha,far,teːko,teːko,t eː k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
570,,ehe,far,jakaː,jakaː,j a k aː,,granadillo_ethnographic_2006;silva_discoteca_1961,,
571,,oho,far,jakaːdale,jakaːdale,j a k aː d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
572,,name,far,teːko,teːko,t eː k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
573,,werekena,far,jamɛhə,jamɛhə,j a m ɛ h ə,,granadillo_ethnographic_2006;silva_discoteca_1961,,
574,,waliperi,grease,ɽiːpi,ɽiːpi,ɽ iː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
575,,hohoodene,grease,ɽiːti,ɽiːti,ɽ iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
576,,moliwene,grease,keːpɛdaɽi,keːpɛdaɽi,k eː p ɛ d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
577,,mauliene,grease,ɽiːti,ɽiːti,ɽ iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
578,,kumadene2,grease,ɽiːti,ɽiːti,ɽ iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
579,,kumadene1,grease,pɛmekapidapɛ,pɛmekapidapɛ,p ɛ m e k a p i d a p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
580,,kowaidakenai,grease,ʐuika,ʐuika,ʐ u i k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
581,,dzawinai,grease,ɽiːti,ɽiːti,ɽ iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
582,,tariana,grease,ketsiː~iːtsi,ketsiː~iːtsi,k e ts iː,,granadillo_ethnographic_2006;silva_discoteca_1961,,
583,,aha,grease,liːti,liːti,l iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
584,,ehe,grease,litavana,litavana,l i t a v a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
585,,oho,grease,liːti,liːti,l iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
586,,name,grease,liːti,liːti,l iː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
587,,werekena,grease,asiːpa,asiːpa,a s iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
588,,waliperi,father,huniɽi,huniɽi,h u n i ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
589,,hohoodene,father,nʰuniʐi,nʰuniʐi,nʰ u n i ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
590,,moliwene,father,haniʐi,haniʐi,h a n i ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
591,,mauliene,father,nuniʐi,nuniʐi,n u n i ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
592,,kumadene2,father,haniʐi,haniʐi,h a n i ʐ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
593,,kumadene1,father,aniːɾi,aniːɾi,a n iː ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
594,,tariana,father,pajka,pajka,p a j k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
595,,werekena,father,nuɾoɐmi,nuɾoɐmi,n u ɾ o ɐ m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
596,,hohoodene,afraid,nuhiokawa,nuhiokawa,n u h i o k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
597,,moliwene,afraid,nuhioka,nuhioka,n u h i o k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
598,,mauliene,afraid,nuhiowa,nuhiowa,n u h i o w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
599,,kumadene2,afraid,nutape,nutape,n u t a p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
600,,kowaidakenai,afraid,kajwaka,kajwaka,k a j w a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
601,,dzawinai,afraid,kaʐukani,kaʐukani,k a ʐ u k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
602,,tariana,afraid,kaɾumanuka,kaɾumanuka,k a ɾ u m a n u k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
603,,werekena,afraid,akunɛti,akunɛti,a k u n ɛ t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
604,,waliperi,feather,ɽinaːpɐ,ɽinaːpɐ,ɽ i n aː p ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
605,,hohoodene,feather,ɽipʰɛ,ɽipʰɛ,ɽ i pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
606,,moliwene,feather,ɽ̥ʰipa,ɽ̥ʰipa,ɽʰ i p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
607,,mauliene,feather,ɽipʰɛ,ɽipʰɛ,ɽ i pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
608,,kumadene2,feather,ɽiːjo,ɽiːjo,ɽ iː j o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
609,,kowaidakenai,feather,ɽiːdʒo,ɽiːdʒo,ɽ iː dʒ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
610,,dzawinai,feather,ɽiːdzu,ɽiːdzu,ɽ iː dz u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
611,,tariana,feather,litʃiaɾɛ,litʃiaɾɛ,l i tʃ i a ɾ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
612,,aha,feather,liːo,liːo,l iː o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
613,,ehe,feather,liːdzo,liːdzo,l iː dz o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
614,,oho,feather,lidzo,lidzo,l i dz o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
615,,name,feather,liːjo,liːjo,l iː j o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
616,,werekena,feather,tanapi,tanapi,t a n a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
617,,waliperi,few,taj̃ʰĩeka,taj̃ʰĩeka,t a j̃ʰ ĩ e k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
618,,hohoodene,few,tsoːdaɽi,tsoːdaɽi,ts oː d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
619,,moliwene,few,tsoːtsa,tsoːtsa,ts oː ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
620,,mauliene,few,tsuːtsa,tsuːtsa,ts uː ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
621,,kumadene2,few,eːp a,eːp a,eː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
622,,tariana,few,hĩdatupɛ,hĩdatupɛ,h ĩ d a t u p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
623,,aha,few,aima,aima,a i m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
624,,ehe,few,tsuːtsa,tsuːtsa,ts uː ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
625,,oho,few,tsuːtsa,tsuːtsa,ts uː ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
626,,name,few,tsoːtsa,tsoːtsa,ts oː ts a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
627,,werekena,few,ɐnipaɾu,ɐnipaɾu,ɐ n i p a ɾ u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
628,,aha,field,kinki,kinki,k i n k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
629,,ehe,field,kenke,kenke,k e n k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
630,,oho,field,kinke,kinke,k i n k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
631,,name,field,kiniki,kiniki,k i n i k i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
632,,aha,fight,inoakakada,inoakakada,i n o a k a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
633,,ehe,fight,inuakaita ~ inuakhakheti,inuakaita ~ inuakhakheti,i n u a k a i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
634,,oho,fight,inoakaketi,inoakaketi,i n o a k a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
635,,waliperi,nail,ɽitsuta,ɽitsuta,ɽ i ts u t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
636,,hohoodene,nail,pasota,pasota,p a s o t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
637,,moliwene,nail,ɽitsuta,ɽitsuta,ɽ i ts u t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
638,,mauliene,nail,nutsuta,nutsuta,n u ts u t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
639,,kumadene2,nail,nutʃita,nutʃita,n u tʃ i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
640,,kowaidakenai,nail,ɽitsuɽa,ɽitsuɽa,ɽ i ts u ɽ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
641,,dzawinai,nail,ɽituta,ɽituta,ɽ i t u t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
642,,tariana,nail,pəipadapɛ,pəipadapɛ,p ə i p a d a p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
643,,werekena,nail,nutsulaɽi,nutsulaɽi,n u ts u l a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
644,,waliperi,fire,ʈidzɛ,ʈidzɛ,t i dz ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
645,,hohoodene,fire,ʈidzɛ,ʈidzɛ,t i dz ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
646,,moliwene,fire,tidzɛ,tidzɛ,t i dz ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
647,,mauliene,fire,tidzɛ,tidzɛ,t i dz ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
648,,kumadene2,fire,tije,tije,t i j e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
649,,kumadene1,fire,ʃjawɐ,ʃjawɐ,ʃ j a w ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
650,,kowaidakenai,fire,tidʒe,tidʒe,t i dʒ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
651,,dzawinai,fire,tidze,tidze,t i dz e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
652,,tariana,fire,itʃaua,itʃaua,i tʃ a u a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
653,,aha,fire,watopita,watopita,w a t o p i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
654,,ehe,fire,tidze,tidze,t i dz e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
655,,oho,fire,tidze,tidze,t i dz e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
656,,name,fire,tije,tije,t i j e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
657,,werekena,fire,asti,asti,a s t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
658,,waliperi,fish,kupʰɛ,kupʰɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
659,,hohoodene,fish,kupʰɛ,kupʰɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
660,,moliwene,fish,kupʰɛ,kupʰɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
661,,mauliene,fish,kupʰɛ,kupʰɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
662,,kumadene2,fish,kuphe,kuphe,k u pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
663,,kumadene1,fish,kuphɛ,kuphɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
664,,kowaidakenai,fish,kuphe,kuphe,k u pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
665,,dzawinai,fish,kuphe,kuphe,k u pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
666,,tariana,fish,kuphɛ,kuphɛ,k u pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
667,,aha,fish,kuphe,kuphe,k u pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
668,,ehe,fish,kuphe,kuphe,k u pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
669,,oho,fish,kophe,kophe,k o pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
670,,name,fish,kophe,kophe,k o pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
671,,werekena,fish,ahsimɛhe,ahsimɛhe,a h s i m ɛ h e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
672,,kumadene1,fishv,wahitonĩpɛ,wahitonĩpɛ,w a h i t o n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
673,,waliperi,five,peːma ʐupakʰaːpi,peːma ʐupakʰaːpi,p eː m a # ʐ u p a kʰ aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
674,,hohoodene,five,pẽ pakapi,pẽ pakapi,p ẽ # p a k a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
675,,moliwene,five,pema pakʰapi,pema pakʰapi,p e m a # p a kʰ a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
676,,mauliene,five,pempakapi,pempakapi,p e m p a k a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
677,,kumadene2,five,pempakaːpi,pempakaːpi,p e m p a k aː p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
678,,kumadene1,five,pɛːmekɐpi,pɛːmekɐpi,p ɛː m e k ɐ p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
679,,tariana,five,pɛmakapi,pɛmakapi,p ɛ m a k a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
680,,aha,five,sinko,sinko,s i n k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
681,,oho,five,sinkoda,sinkoda,s i n k o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
682,,werekena,five,sĩkʊ,sĩkʊ,s ĩ k ʊ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
683,,waliperi,meat,ɽiːpɛ,ɽiːpɛ,ɽ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
684,,hohoodene,meat,ɽiːpɛ,ɽiːpɛ,ɽ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
685,,moliwene,meat,ɽiːpɛ,ɽiːpɛ,ɽ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
686,,mauliene,meat,ɽiːpɛ,ɽiːpɛ,ɽ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
687,,kumadene2,meat,ɽiːpe,ɽiːpe,ɽ iː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
688,,kumadene1,meat,ɾiːpɛ,ɾiːpɛ,ɾ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
689,,tariana,meat,ɾiːpɛ,ɾiːpɛ,ɾ iː p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
690,,aha,meat,liːpe,liːpe,l iː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
691,,ehe,meat,liːphe,liːphe,l iː pʰ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
692,,oho,meat,liːpe,liːpe,l iː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
693,,name,meat,liːpe,liːpe,l iː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
694,,werekena,meat,miti,miti,m i t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
695,,aha,float,irokadao,irokadao,i ɾ o k a d a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
696,,ehe,float,itamuthakheti,itamuthakheti,i t a m u tʰ a kʰ e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
697,,oho,float,ironiketi,ironiketi,i ɾ o n i k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
698,,name,float,iroketi,iroketi,i ɾ o k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
699,,waliperi,flower,ɽiːwi,ɽiːwi,ɽ iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
700,,hohoodene,flower,ɽiːwi,ɽiːwi,ɽ iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
701,,moliwene,flower,ɽiːwi,ɽiːwi,ɽ iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
702,,mauliene,flower,haikui,haikui,h a i k u i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
703,,kumadene2,flower,ɽinaka,ɽinaka,ɽ i n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
704,,tariana,flower,ɾihi,ɾihi,ɾ i h i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
705,,aha,flower,liːwi,liːwi,l iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
706,,ehe,flower,liːwi,liːwi,l iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
707,,oho,flower,floːre~tsa,floːre~tsa,f l oː ɾ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
708,,name,flower,liːwi,liːwi,l iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
709,,werekena,flower,potʃiɾa,potʃiɾa,p o tʃ i ɾ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
710,,hohoodene,fly,waːlakawa,waːlakawa,w aː l a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
711,,moliwene,fly,ɽiaʐakawa,ɽiaʐakawa,ɽ i a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
712,,mauliene,fly,nuaʐakawa,nuaʐakawa,n u a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
713,,kumadene2,fly,ɽiawʐakao,ɽiawʐakao,ɽ i a w ʐ a k a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
714,,kowaidakenai,fly,wiaka,wiaka,w i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
715,,dzawinai,fly,nuaʐakawa,nuaʐakawa,n u a ʐ a k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
716,,tariana,fly,naɾahinãka,naɾahinãka,n a ɾ a h i n ã k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
717,,aha,fly,jaːraketi,jaːraketi,j aː ɾ a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
718,,ehe,fly,aːraketi,aːraketi,aː ɾ a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
719,,oho,fly,jarakape,jarakape,j a ɾ a k a p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
720,,name,fly,liarakao,liarakao,l i a ɾ a k a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
721,,werekena,fly,numita,numita,n u m i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
722,,waliperi,fog,itamana,itamana,i t a m a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
723,,hohoodene,fog,itamana,itamana,i t a m a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
724,,moliwene,fog,itamɐ̃na,itamɐ̃na,i t a m ɐ̃ n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
725,,mauliene,fog,tamanakani,tamanakani,t a m a n a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
726,,kumadene2,fog,itamanaka,itamanaka,i t a m a n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
727,,tariana,fog,itʃakumã ~itsa,itʃakumã ~itsa,i tʃ a k u m ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
728,,aha,fog,tamana,tamana,t a m a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
729,,ehe,fog,itamana,itamana,i t a m a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
730,,oho,fog,kadawakadale,kadawakadale,k a d a w a k a d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
731,,name,fog,itamana,itamana,i t a m a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
732,,waliperi,foot,ɽikawa,ɽikawa,ɽ i k a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
733,,hohoodene,foot,hajpa,hajpa,h a j p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
734,,moliwene,foot,ɽ̥ʰiːpa,ɽ̥ʰiːpa,ɽʰ iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
735,,mauliene,foot,nuipa,nuipa,n u i p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
736,,kumadene2,foot,nuipa,nuipa,n u i p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
737,,kumadene1,foot,wajmapɛ,wajmapɛ,w a j m a p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
738,,kowaidakenai,foot,ɽiːpa,ɽiːpa,ɽ iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
739,,dzawinai,foot,hiːpa,hiːpa,h iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
740,,tariana,foot,hipamã,hipamã,h i p a m ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
741,,aha,foot,liːpa,liːpa,l iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
742,,ehe,foot,hliːpa,hliːpa,lʰ iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
743,,oho,foot,liːpa,liːpa,l iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
744,,name,foot,liːpa,liːpa,l iː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
745,,werekena,foot,nutʃipaɽa,nutʃipaɽa,n u tʃ i p a ɽ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
746,,aha,jungle,awakada ~ awakadariko,awakada ~ awakadariko,a w a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
747,,oho,jungle,nawakada,nawakada,n a w a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
748,,name,jungle,awakada,awakada,a w a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
749,,waliperi,four,ɽikoadaka,ɽikoadaka,ɽ i k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
750,,hohoodene,four,ɽikoɛpaka,ɽikoɛpaka,ɽ i k o ɛ p a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
751,,moliwene,four,koadaka,koadaka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
752,,mauliene,four,koadáka,koadáka,k o a d a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
753,,kumadene2,four,kwadakawda,kwadakawda,kʷ a d a k a w d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
754,,kumadene1,four,koehponĩpɛ,koehponĩpɛ,k o e h p o n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
755,,tariana,four,~kehkunĩpɛ,~kehkunĩpɛ,k e h k u n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
756,,aha,four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
757,,ehe,four,likuadaːka,likuadaːka,l i k u a d aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
758,,oho,four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
759,,name,four,kuatroda,kuatroda,k u a t ɾ o d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
760,,werekena,four,kwatɾʊ,kwatɾʊ,kʷ a t ɾ ʊ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
761,,waliperi,fruit,ɽiːnaka,ɽiːnaka,ɽ iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
762,,hohoodene,fruit,ɽiːnaka,ɽiːnaka,ɽ iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
763,,moliwene,fruit,ɽĩhaj,ɽĩhaj,ɽ ĩ h a j,,granadillo_ethnographic_2006;silva_discoteca_1961,,
764,,mauliene,fruit,paniati,paniati,p a n i a t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
765,,kumadene2,fruit,ɽiːwi,ɽiːwi,ɽ iː w i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
766,,tariana,fruit,hekunã ~hajkuɾuda,hekunã ~hajkuɾuda,h e k u n ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
767,,aha,fruit,liːnaka,liːnaka,l iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
768,,ehe,fruit,liːnaka,liːnaka,l iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
769,,oho,fruit,liːnaka,liːnaka,l iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
770,,name,fruit,liːnaka,liːnaka,l iː n a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
771,,werekena,fruit,sinahɐ,sinahɐ,s i n a h ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
772,,waliperi,full,pakʰamɛ,pakʰamɛ,p a kʰ a m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
773,,hohoodene,full,paːkʰɐmɛ,paːkʰɐmɛ,p aː kʰ ɐ m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
774,,moliwene,full,pakʰɐmɛkɛ,pakʰɐmɛkɛ,p a kʰ ɐ m ɛ k ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
775,,mauliene,full,pakʰɐmɛkani,pakʰɐmɛkani,p a kʰ ɐ m ɛ k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
776,,kumadene2,full,pakhame,pakhame,p a kʰ a m e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
777,,kowaidakenai,full,biukani,biukani,b i u k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
778,,dzawinai,full,pakhameka,pakhameka,p a kʰ a m e k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
779,,tariana,full,setsamanukaɾia,setsamanukaɾia,s e ts a m a n u k a ɾ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
780,,werekena,full,pɛɾumiaɾi,pɛɾumiaɾi,p ɛ ɾ u m i a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
